record_index,site,file_offset,target,target_internal
0,3967,0x00000FBF,1541,True
0,3985,0x00000FD1,1541,True
0,4006,0x00000FE6,1541,True
0,4015,0x00000FEF,5038,True
0,4024,0x00000FF8,4771,True
0,4027,0x00000FFB,2900,True
0,4030,0x00000FFE,5005,True
0,4058,0x0000101A,1541,True
0,1613,0x0000068D,1452,True
0,133,0x000000C5,1541,True
0,160,0x000000E0,1541,True
0,191,0x000000FF,1541,True
0,218,0x0000011A,1541,True
0,231,0x00000127,4493,True
0,388,0x000001C4,4493,True
0,796,0x0000035C,4493,True
0,1280,0x00000540,4493,True
0,1437,0x000005DD,4493,True
0,4585,0x00001229,3733,True
0,124,0x000000BC,4878,True
0,4882,0x00001352,4827,True
0,4887,0x00001357,4697,True
0,4898,0x00001362,4615,True
0,4903,0x00001367,4697,True
0,4760,0x000012D8,4986,True
0,4691,0x00001293,4986,True
0,4872,0x00001348,4986,True
0,2031,0x0000082F,3865,True
0,4934,0x00001386,4264,True
0,4950,0x00001396,4342,True
0,4927,0x0000137F,4932,True
0,1525,0x00000635,3849,True
0,2214,0x000008E6,1502,True
0,2199,0x000008D7,1502,True
0,2177,0x000008C1,1502,True
0,2156,0x000008AC,2191,True
0,1463,0x000005F7,3849,True
0,1598,0x0000067E,1519,True
0,1565,0x0000065D,1502,True
0,4041,0x00001009,1541,True
0,5013,0x000013D5,3,True
0,2900,0x00000B94,5056,True
0,3270,0x00000D06,3830,True
0,3288,0x00000D18,3830,True
0,3304,0x00000D28,3708,True
0,3426,0x00000DA2,3796,True
0,2083,0x00000863,3107,True
0,3340,0x00000D4C,3733,True
0,3169,0x00000CA1,4493,True
0,2322,0x00000952,1541,True
0,2389,0x00000995,1541,True
0,2439,0x000009C7,1541,True
0,2444,0x000009CC,4697,True
0,2470,0x000009E6,4697,True
0,2522,0x00000A1A,1541,True
0,2527,0x00000A1F,4827,True
0,2532,0x00000A24,4697,True
0,2542,0x00000A2E,3179,True
0,2547,0x00000A33,4697,True
0,2556,0x00000A3C,4697,True
0,2565,0x00000A45,4697,True
0,2579,0x00000A53,1541,True
