address,end,size,name,instructions,callers,callees,string_evidence,direct_categories,graph_inferred_categories
0xA0060000,0xA0060010,0x10,start,4,0,0,0,unclassified,
0xA0060864,0xA00608E0,0x7C,sub_A0060864,30,0,12,0,unclassified,picture_pq
0xA00608E8,0xA00609EC,0x104,sub_A00608E8,59,0,0,0,unclassified,
0xA0060AA4,0xA0060BA8,0x104,sub_A0060AA4,59,0,0,0,unclassified,
0xA0060BA8,0xA0060CAC,0x104,sub_A0060BA8,59,0,0,0,unclassified,
0xA0060CAC,0xA0060DB0,0x104,sub_A0060CAC,59,0,0,0,unclassified,
0xA0060EC4,0xA0060FC0,0xFC,sub_A0060EC4,57,0,0,0,unclassified,
0xA006101C,0xA0061128,0x10C,sub_A006101C,63,0,0,0,unclassified,
0xA006121C,0xA0061228,0xC,sub_A006121C,3,1,0,0,unclassified,
0xA0061228,0xA0061234,0xC,sub_A0061228,3,3,0,0,unclassified,
0xA0061234,0xA0061240,0xC,sub_A0061234,3,19,0,0,unclassified,picture_pq
0xA0061240,0xA006124C,0xC,sub_A0061240,3,22,0,0,unclassified,picture_pq
0xA006124C,0xA0061268,0x1C,sub_A006124C,7,0,0,0,unclassified,
0xA0061268,0xA0061284,0x1C,sub_A0061268,7,0,0,0,unclassified,
0xA0061284,0xA00612B8,0x34,sub_A0061284,13,0,0,0,unclassified,
0xA0061570,0xA00615CC,0x5C,sub_A0061570,23,0,0,0,unclassified,
0xA00615CC,0xA0061760,0x194,sub_A00615CC,100,0,0,0,unclassified,
0xA0061760,0xA00617B4,0x54,sub_A0061760,19,1,0,0,unclassified,
0xA00617B4,0xA006187C,0xC8,sub_A00617B4,50,6,0,0,unclassified,picture_pq
0xA006187C,0xA0061900,0x84,sub_A006187C,32,1,0,1,unclassified,
0xA0061900,0xA0061984,0x84,sub_A0061900,32,0,0,1,unclassified,
0xA00619EC,0xA0061A7C,0x90,sub_A00619EC,36,16,1,4,diagnostics,
0xA0061A7C,0xA0061B0C,0x90,sub_A0061A7C,36,2,1,4,picture_pq|diagnostics,
0xA0061B0C,0xA0061D90,0x284,sub_A0061B0C,160,1,5,24,boot_update|picture_pq,
0xA0061D90,0xA0061EE4,0x154,sub_A0061D90,83,1,0,0,unclassified,
0xA0061EE4,0xA0061F98,0xB4,sub_A0061EE4,45,1,4,0,unclassified,video_link
0xA0061F98,0xA00621CC,0x234,sub_A0061F98,136,1,1,0,unclassified,
0xA00621CC,0xA00622F8,0x12C,sub_A00621CC,72,1,0,0,unclassified,
0xA00622F8,0xA0062378,0x80,sub_A00622F8,30,1,3,0,unclassified,picture_pq
0xA0062378,0xA00623D0,0x58,sub_A0062378,22,1,1,0,unclassified,
0xA00623D0,0xA00625DC,0x20C,sub_A00623D0,129,1,0,0,unclassified,
0xA00625DC,0xA006266C,0x90,sub_A00625DC,36,1,0,0,unclassified,
0xA006266C,0xA00628C0,0x254,sub_A006266C,149,1,1,0,unclassified,
0xA00628C0,0xA00628F8,0x38,sub_A00628C0,14,1,0,0,unclassified,
0xA00628F8,0xA0062A28,0x130,sub_A00628F8,75,1,0,0,unclassified,
0xA0062A28,0xA0062A58,0x30,sub_A0062A28,12,2,1,0,unclassified,
0xA0062A58,0xA006317C,0x724,sub_A0062A58,451,1,8,0,unclassified,picture_pq
0xA006317C,0xA00632E8,0x16C,sub_A006317C,89,2,6,0,unclassified,picture_pq
0xA00632E8,0xA0063314,0x2C,sub_A00632E8,11,1,1,0,unclassified,
0xA0063314,0xA0063340,0x2C,sub_A0063314,11,1,1,0,unclassified,
0xA0063340,0xA00636D0,0x390,sub_A0063340,224,1,2,0,unclassified,
0xA00636D0,0xA00636E0,0x10,sub_A00636D0,4,2,0,0,unclassified,
0xA00688D4,0xA006895C,0x88,sub_A00688D4,32,1,1,3,unclassified,picture_pq
0xA006895C,0xA0068988,0x2C,sub_A006895C,11,13,0,0,unclassified,video_link
0xA0068988,0xA00689BC,0x34,sub_A0068988,13,9,0,0,unclassified,picture_pq
0xA00689BC,0xA00689D4,0x18,sub_A00689BC,6,1,1,0,unclassified,
0xA00689D4,0xA0068AB0,0xDC,sub_A00689D4,55,1,1,0,unclassified,
0xA0068AB0,0xA0068B68,0xB8,sub_A0068AB0,46,1,1,0,unclassified,
0xA0068B68,0xA0068CF0,0x188,sub_A0068B68,98,6,0,0,unclassified,video_link
0xA0068CF0,0xA0068D44,0x54,sub_A0068CF0,20,29,0,0,unclassified,video_link
0xA0068D44,0xA0068DEC,0xA8,sub_A0068D44,41,1,0,0,unclassified,
0xA0068DEC,0xA0068E10,0x24,sub_A0068DEC,8,1,0,0,unclassified,
0xA0068E10,0xA0068E48,0x38,sub_A0068E10,14,1,5,2,unclassified,
0xA0068E48,0xA0068E64,0x1C,sub_A0068E48,6,2,1,0,unclassified,video_link
0xA0068E64,0xA0068E80,0x1C,sub_A0068E64,6,1,0,0,unclassified,
0xA0068E80,0xA0068E9C,0x1C,sub_A0068E80,6,1,0,0,unclassified,
0xA0068E9C,0xA0068F1C,0x80,sub_A0068E9C,30,1,0,0,unclassified,
0xA0068F1C,0xA0068F68,0x4C,sub_A0068F1C,18,1,0,0,unclassified,
0xA0068F68,0xA0068FE8,0x80,sub_A0068F68,30,1,0,0,unclassified,
0xA0068FE8,0xA0069034,0x4C,sub_A0068FE8,18,1,0,0,unclassified,
0xA0069080,0xA0069180,0x100,sub_A0069080,64,1,2,0,unclassified,
0xA0069180,0xA00692F0,0x170,sub_A0069180,89,1,2,0,unclassified,
0xA00692F0,0xA0069374,0x84,sub_A00692F0,30,1,0,0,unclassified,
0xA0069374,0xA0069380,0xC,sub_A0069374,3,20,0,0,unclassified,
0xA0069380,0xA00693EC,0x6C,sub_A0069380,25,1,1,1,unclassified,video_link
0xA00693EC,0xA00694A4,0xB8,sub_A00693EC,46,1,1,0,unclassified,
0xA00694A4,0xA006953C,0x98,sub_A00694A4,38,2,1,0,unclassified,
0xA006953C,0xA006959C,0x60,sub_A006953C,24,1,0,0,unclassified,
0xA006959C,0xA006968C,0xF0,sub_A006959C,58,1,1,0,unclassified,
0xA006968C,0xA0069834,0x1A8,sub_A006968C,103,0,2,10,diagnostics,
0xA0069834,0xA00699AC,0x178,sub_A0069834,94,1,0,0,unclassified,
0xA00699AC,0xA0069A18,0x6C,sub_A00699AC,27,1,1,0,unclassified,
0xA0069A18,0xA0069E98,0x480,sub_A0069A18,287,64,2,0,unclassified,video_link
0xA0069E98,0xA0069EAC,0x14,sub_A0069E98,5,18,1,0,unclassified,video_link
0xA0069EAC,0xA0069EFC,0x50,sub_A0069EAC,20,1,1,0,unclassified,
0xA0069EFC,0xA0069F80,0x84,sub_A0069EFC,33,1,2,0,unclassified,
0xA0069F80,0xA006A124,0x1A4,sub_A0069F80,105,1,3,0,unclassified,video_link
0xA006A124,0xA006A158,0x34,sub_A006A124,13,1,0,0,unclassified,
0xA006A158,0xA006A1D0,0x78,sub_A006A158,29,1,0,0,unclassified,
0xA006A1F8,0xA006A2A8,0xB0,sub_A006A1F8,44,1,2,0,unclassified,
0xA006A2A8,0xA006A2E0,0x38,sub_A006A2A8,13,1,0,0,unclassified,
0xA006A2E0,0xA006A314,0x34,sub_A006A2E0,13,1,0,0,unclassified,
0xA006A314,0xA006A348,0x34,sub_A006A314,13,2,0,0,unclassified,power
0xA006A348,0xA006A3A0,0x58,sub_A006A348,21,1,0,0,unclassified,
0xA006A3A0,0xA006A448,0xA8,sub_A006A3A0,42,1,2,0,unclassified,video_link
0xA006A448,0xA006A4A0,0x58,sub_A006A448,22,2,0,0,unclassified,power
0xA006A4A0,0xA006A4B0,0x10,sub_A006A4A0,4,1,0,0,unclassified,
0xA006A4B0,0xA006A574,0xC4,sub_A006A4B0,49,1,3,0,unclassified,
0xA006A574,0xA006A57C,0x8,nullsub_3,2,1,0,0,unclassified,
0xA006A57C,0xA006A584,0x8,nullsub_4,2,1,0,0,unclassified,
0xA006A584,0xA006A5FC,0x78,sub_A006A584,29,1,1,0,unclassified,video_link
0xA006A5FC,0xA006A618,0x1C,sub_A006A5FC,6,1,0,0,unclassified,
0xA006A618,0xA006A858,0x240,sub_A006A618,143,1,3,2,unclassified,video_link
0xA006A858,0xA006AA00,0x1A8,sub_A006A858,105,2,3,0,unclassified,video_link
0xA006AA00,0xA006AD24,0x324,sub_A006AA00,199,2,3,0,unclassified,
0xA006AD24,0xA006AD58,0x34,sub_A006AD24,13,1,1,0,unclassified,
0xA006AD58,0xA006AD78,0x20,sub_A006AD58,8,1,1,0,unclassified,
0xA006AD78,0xA006ADF4,0x7C,sub_A006AD78,31,1,3,0,unclassified,video_link
0xA006ADF4,0xA006AE40,0x4C,sub_A006ADF4,19,1,1,0,unclassified,
0xA006AE40,0xA006AF88,0x148,sub_A006AE40,82,1,3,0,unclassified,video_link
0xA006AF88,0xA006B2E8,0x360,sub_A006AF88,215,2,3,0,unclassified,
0xA006B2E8,0xA006B328,0x40,sub_A006B2E8,16,4,1,0,unclassified,video_link
