function_address,ida_name,inferred_name,evidence_address,evidence_ambiguity
0xA00619EC,sub_A00619EC,DRV_PQ_U32SetVal,0xA008F168,single-function-xref
0xA0061A7C,sub_A0061A7C,DRV_HDR_U32SetVal,0xA00656E0,single-function-xref
0xA00710C0,sub_A00710C0,DPTX_SetHPDIO,0xA008C880,single-function-xref
0xA00753A4,sub_A00753A4,DRV_HDMI_InitialSettings,0xA008CA08,single-function-xref
0xA0075AAC,sub_A0075AAC,DRV_HDMI_PHY_Clr_EQ_Err,0xA008CA28,single-function-xref
0xA0075F78,sub_A0075F78,DRV_HDMI_EQScan_FSM_PHY_BA_Turning,0xA008CA58,single-function-xref
0xA0076CBC,sub_A0076CBC,DRV_HDMI_EQScan_FSM_PHY_PreRVGA,0xA008CA80,single-function-xref
0xA00778F4,sub_A00778F4,DRV_HDMI_EQScan_FSM_PHY_PreAEQ,0xA008CAA0,single-function-xref
0xA0077D50,sub_A0077D50,DRV_HDMI_EQScan_FSM_PHY_RunAEQ,0xA008CAC0,single-function-xref
0xA00780A4,sub_A00780A4,DRV_HDMI_EQScan_FSM_PHY_R_Turning,0xA008CAE0,single-function-xref
0xA0078374,sub_A0078374,DRV_HDMI_EQScan_FSM_PHY_PreChkError,0xA008CB08,single-function-xref
0xA00788D0,sub_A00788D0,DRV_HDMI_EQScan_FSM_PHY_R_ChkError,0xA008CB30,single-function-xref
0xA00792D0,sub_A00792D0,DRV_HDMI_EQScan_FSM_Search_Process,0xA008CB58,single-function-xref
0xA007978C,sub_A007978C,DRV_HDMI_EQScan_FSM_Search_EQTable,0xA008CB80,single-function-xref
0xA007A4A8,sub_A007A4A8,DRV_HDMI_EQScan_FSM_PHY_EQ,0xA008CBB0,single-function-xref
0xA007AEB4,sub_A007AEB4,DRV_HDMI_EQScan_FSM_PHY_PICDR,0xA008CBD0,single-function-xref
0xA007B7F8,sub_A007B7F8,DRV_HDMI_EQScan_FSM_PHY_DPHY,0xA008CBF0,single-function-xref
0xA007BACC,sub_A007BACC,DRV_HDMI_EQScan_FSM_Check_MEQ_Done,0xA008CC10,single-function-xref
0xA007BF38,sub_A007BF38,DRV_HDMI_EQScan_FSM_PHY_ChkError,0xA008CC38,single-function-xref
0xA007D078,sub_A007D078,DRV_HDMI_EQScan_FSM_Done,0xA008CC60,single-function-xref
0xA007D16C,sub_A007D16C,DRV_HDMI_EQScan_FSM_PHY_PLL,0xA008CC80,single-function-xref
0xA007D4BC,sub_A007D4BC,DRV_HDMI_EQScan_FSM_PHY_Init,0xA008CCA0,single-function-xref
