address,end,size,name,instructions,callers,callees
0x00000000,0x00000003,0x3,RESET,1,0,0x00001360
0x0000000B,0x00000013,0x8,TF0,4,0,
0x0000001B,0x00000022,0x7,TF1,4,0,0x00000023 0x00000043
0x00000023,0x0000002B,0x8,RI0_TI0,4,0,
0x0000002B,0x00000043,0x18,TF2_EXF2,13,0,
0x00000043,0x0000004B,0x8,IADC,5,0,
0x0000004B,0x00000053,0x8,IEX2,4,0,
0x0000005B,0x00000063,0x8,IEX4,4,0,0x0000009B
0x00000063,0x0000006B,0x8,IEX5,5,0,
0x0000006B,0x00000083,0x18,IEX6,13,0,0x0000130E
0x0000009B,0x000005A3,0x508,CTF,724,0,0x00000605 0x000007D5 0x0000118D
0x000005A3,0x000005AC,0x9,code_5A3,6,1,
0x000005AC,0x000005BD,0x11,code_5AC,7,1,0x00000E7C 0x00000F09
0x000005C7,0x000005DE,0x17,code_5C7,13,1,0x000005DE
0x000005DE,0x000005EF,0x11,code_5DE,14,4,0x00001344
0x000005EF,0x000005FC,0xD,code_5EF,6,1,0x00000EC2 0x00000F09
0x00000605,0x000006AE,0xA9,code_605,89,4,0x0000009B 0x000005A3 0x000005AC 0x000005DE 0x000005EF 0x00000F19
0x000007D5,0x000007EF,0x1A,code_7D5,12,1,0x000005C7 0x00000605
0x00000836,0x0000088F,0x59,code_836,43,0,0x000005DE 0x0000088F
0x0000088F,0x000008BC,0x2D,code_88F,18,1,0x000005DE
0x00000B54,0x00000C6B,0x117,code_B54,444,1,0x00000605 0x00000C6B 0x00000FF1 0x0000118D 0x00001259 0x000012DB 0x0000130E 0x000013BA 0x000013C0
0x00000C6B,0x00000C80,0x15,code_C6B,11,1,
0x00000C80,0x00000D77,0xF7,code_C80,134,1,0x00000E7C 0x00000E95 0x00000ED4 0x00000EF6
0x00000E7C,0x00000E95,0x19,code_E7C,16,2,
0x00000E95,0x00000EC2,0x2D,code_E95,30,2,
0x00000EC2,0x00000ED4,0x12,code_EC2,11,2,
0x00000ED4,0x00000EF6,0x22,code_ED4,23,1,
0x00000EF6,0x00000F09,0x13,code_EF6,17,2,
0x00000F09,0x00000F19,0x10,code_F09,15,2,
0x00000F19,0x00000F3F,0x26,code_F19,27,1,
0x00000FF1,0x0000107C,0x8B,code_FF1,75,1,0x00000EC2 0x00000EF6
0x00001135,0x0000113C,0x7,code_1135,6,0,
0x0000118D,0x00001207,0x7A,code_118D,66,2,0x00000E95
0x00001207,0x00001259,0x52,code_1207,44,1,0x0000137A
0x00001259,0x000012A3,0x4A,code_1259,40,3,0x0000137A
0x000012A3,0x000012DB,0x38,code_12A3,30,1,0x00000C80
0x000012DB,0x0000130E,0x33,code_12DB,28,2,0x0000137A
0x0000130E,0x00001339,0x2B,code_130E,19,2,0x00000605 0x00001207 0x00001259 0x000012DB
0x00001344,0x00001360,0x1C,code_1344,12,1,
0x00001360,0x0000137A,0x1A,RESET_0,94,1,0x00000605 0x00000B54 0x000012A3 0x0000138D 0x0000139F 0x000013AE
0x0000137A,0x0000138D,0x13,code_137A,17,3,
0x0000138D,0x0000139F,0x12,code_138D,9,1,
0x0000139F,0x000013AE,0xF,code_139F,6,1,
0x000013AE,0x000013BA,0xC,code_13AE,8,1,
0x000013BA,0x000013C0,0x6,code_13BA,3,1,0x00001259
0x000013C0,0x000013C3,0x3,code_13C0,2,1,
