function_id,architecture,record,runtime_address,file_offset,size,name,callers,callees,parameters,return_value,side_effects,confidence,sources,name_evidence,size_evidence,unresolved_reason
record0-8051:0x0000,MCS-51/8051,0,0x00000000,0x00000040,0x3,RESET,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x3,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0003,MCS-51/8051,0,0x00000003,0x00000043,UNRESOLVED,UNRESOLVED,0x000013C0,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x000B,MCS-51/8051,0,0x0000000B,0x0000004B,0x8,TF0,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x8,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x001B,MCS-51/8051,0,0x0000001B,0x0000005B,0x7,TF1,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x7,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0023,MCS-51/8051,0,0x00000023,0x00000063,0x8,RI0_TI0,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x8,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x002B,MCS-51/8051,0,0x0000002B,0x0000006B,0x18,TF2_EXF2,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x18,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0043,MCS-51/8051,0,0x00000043,0x00000083,0x8,IADC,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x8,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x004B,MCS-51/8051,0,0x0000004B,0x0000008B,0x8,IEX2,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x8,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x005B,MCS-51/8051,0,0x0000005B,0x0000009B,0x8,IEX4,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x8,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0063,MCS-51/8051,0,0x00000063,0x000000A3,0x8,IEX5,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x8,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x006B,MCS-51/8051,0,0x0000006B,0x000000AB,0x18,IEX6,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x18,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x009B,MCS-51/8051,0,0x0000009B,0x000000DB,0x508,CTF,NONE_RECOVERED,0x00001541 0x00004493 0x00004878,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x508,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0442,MCS-51/8051,0,0x00000442,0x00000482,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,Ghidra,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x05A3,MCS-51/8051,0,0x000005A3,0x000005E3,0x9,code_5A3,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x9,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x05AC,MCS-51/8051,0,0x000005AC,0x000005EC,0x11,code_5AC,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x11,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x05C7,MCS-51/8051,0,0x000005C7,0x00000607,0x17,code_5C7,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x17,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x05DE,MCS-51/8051,0,0x000005DE,0x0000061E,0x11,code_5DE,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x11,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x05EF,MCS-51/8051,0,0x000005EF,0x0000062F,0xD,code_5EF,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0xD,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0605,MCS-51/8051,0,0x00000605,0x00000645,0xA9,code_605,NONE_RECOVERED,0x00004493,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0xA9,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x07D5,MCS-51/8051,0,0x000007D5,0x00000815,0x1A,code_7D5,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x1A,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0836,MCS-51/8051,0,0x00000836,0x00000876,0x59,code_836,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x59,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
