target,target_class,reads,writes,widths,sites,functions,confidence,bit_semantics,evidence
0xA8034000,RUNTIME_RAM,0,2,1,0x00101404 0x00101514,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034001,RUNTIME_RAM,0,2,1,0x00101408 0x00101518,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034002,RUNTIME_RAM,0,2,1,0x00101410 0x00101520,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034003,RUNTIME_RAM,0,2,1,0x0010140C 0x0010151C,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034008,RUNTIME_RAM,1,1,2,0x00104B38 0x00104FF8,0x00104884:sub_104884 | 0x00104FF0:sub_104FF0,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803400A,RUNTIME_RAM,1,1,2,0x00104C48 0x00104FEC,0x00104884:sub_104884 | 0x00104FE4:sub_104FE4,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803400C,RUNTIME_RAM,1,1,2,0x00104B4C 0x00104FE0,0x00104884:sub_104884 | 0x00104FD8:sub_104FD8,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803400E,RUNTIME_RAM,3,3,2,0x00104B3C 0x00104B58 0x00104B88 0x00104BAC 0x00104C34 0x00104C4C,0x00104884:sub_104884,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034010,RUNTIME_RAM,1,0,1,0x0010529C,0x00105238:sub_105238,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034090,RUNTIME_RAM,1,1,1,0x0011831C 0x00118464,0x001182E8:sub_1182E8 | 0x0011845C:sub_11845C,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034091,RUNTIME_RAM,5,1,1,0x00118320 0x00118458 0x00118588 0x00118674 0x00118764 0x00118854,0x001182E8:sub_1182E8 | 0x00118418:sub_118418 | 0x001184A8:sub_1184A8 | 0x00118594:sub_118594 | 0x00118680:sub_118680 | 0x00118770:sub_118770,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034092,RUNTIME_RAM,0,2,1,0x00118928 0x00118A28,0x00118918:sub_118918 | 0x001189D4:sub_1189D4,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034093,RUNTIME_RAM,16,2,1,0x001184C4 0x001185B0 0x0011869C 0x0011878C 0x00118924 0x00118A2C 0x00118AB0 0x00119044 0x00119110 0x001191AC 0x0011925C 0x00119394 0x00119408 0x001194C0 0x00119D08 0x00119EE8 0x0011A11C 0x0011A2D8,0x001184A8:sub_1184A8 | 0x00118594:sub_118594 | 0x00118680:sub_118680 | 0x00118770:sub_118770 | 0x00118918:sub_118918 | 0x001189D4:sub_1189D4 | 0x00118A90:sub_118A90 | 0x0011903C:sub_11903C | 0x00119400:sub_119400 | 0x001194B8:sub_1194B8 | 0x00119C84:sub_119C84 | 0x00119E74:sub_119E74 | 0x0011A0AC:sub_11A0AC | 0x0011A264:sub_11A264,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034094,RUNTIME_RAM,1,1,1,0x00122140 0x00122158,0x00122128:sub_122128,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80340A8,RUNTIME_RAM,1,0,4,0x00125F08,0x00125EC8:sub_125EC8,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80340B4,RUNTIME_RAM,1,1,4,0x00127014 0x0012701C,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80340CE,RUNTIME_RAM,1,0,2,0x00104B68,0x00104884:sub_104884,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034140,RUNTIME_RAM,3,3,1,0x00127C60 0x00127C88 0x00127C98 0x00127D2C 0x001290F0 0x00129270,0x00127C1C:sub_127C1C | 0x00128FE8:sub_128FE8,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034141,RUNTIME_RAM,3,1,1,0x00127C2C 0x00127D0C 0x00127D44 0x00128FFC,0x00127C1C:sub_127C1C | 0x00128FE8:sub_128FE8,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803430C,RUNTIME_RAM,20,2,2,0x0012A158 0x0012A344 0x0012A638 0x00158034 0x001580FC 0x00158188 0x001585E4 0x001589FC 0x00158B54 0x001596F0 0x001598F4 0x0015A0AC 0x0015AD80 0x0015ADA4 0x0015ADBC 0x0015ADE8 0x0015AE50 0x0015B97C 0x0015B988 0x0015BC00 0x0015BC38 0x0015C5CC,0x0012A074:sub_12A074 | 0x0012A340:sub_12A340 | 0x00157FEC:sub_157FEC | 0x001580F4:sub_1580F4 | 0x00158154:sub_158154 | 0x001588B0:sub_1588B0 | 0x00158AFC:sub_158AFC | 0x001596E8:sub_1596E8 | 0x001598E8:sub_1598E8 | 0x0015A0A4:sub_15A0A4 | 0x0015AD68:sub_15AD68 | 0x0015AE00:sub_15AE00 | 0x0015B974:sub_15B974 | 0x0015BB50:sub_15BB50 | 0x0015C300:sub_15C300,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803430E,RUNTIME_RAM,0,2,1,0x00159028 0x0015902C,0x00158FB8:sub_158FB8,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034310,RUNTIME_RAM,1,1,4,0x0012ADC4 0x0012AE60,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034314,RUNTIME_RAM,32,0,4,0x0012B170 0x0012B17C 0x0012B18C 0x0014EB70 0x0014EC64 0x0014ECAC 0x0014ECFC 0x0014ED48 0x0014ED9C 0x0014EDFC 0x0014EEBC 0x0014EF00 0x0014EF78 0x0014EFD8 0x0014F034 0x0014F090 0x0014F0E0 0x0014F130 0x0014F174 0x0014F1D4 0x0014F22C 0x0014F2A8 0x0014F318 0x0014F3D8 0x0014F404 0x0014F490 0x0014F4E0 0x0014F504 0x0014F89C 0x0014F938 0x0014FE9C 0x0014FF90,0x0012B048:sub_12B048 | 0x0014E9F0:sub_14E9F0 | 0x0014EC84:sub_14EC84 | 0x0014F054:sub_14F054 | 0x0014F2C8:sub_14F2C8 | 0x0014F4B0:sub_14F4B0,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034324,RUNTIME_RAM,2,1,1,0x00135480 0x00135C2C 0x00135ED0,0x00135E94:sub_135E94,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034325,RUNTIME_RAM,3,11,1,0x00135544 0x00135804 0x00135874 0x00135C38 0x00135CA8 0x00135CB8 0x00135CC4 0x00135DB4 0x00135DBC 0x00135ED8 0x0013616C 0x0013617C 0x00136188 0x00136284,0x00135484:sub_135484 | 0x001357E0:sub_1357E0 | 0x00135E94:sub_135E94,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034328,RUNTIME_RAM,4,1,4,0x00135660 0x001357E8 0x00135C14 0x00135EB8 0x00136294,0x00135484:sub_135484 | 0x001357E0:sub_1357E0 | 0x00135E94:sub_135E94 | 0x00136290:sub_136290,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803432C,RUNTIME_RAM,1,1,1,0x00135744 0x00135880,0x00135730:sub_135730 | 0x001357E0:sub_1357E0,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034330,RUNTIME_RAM,1,0,2,0x00139F80,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034332,RUNTIME_RAM,0,2,1,0x0013A8D8 0x0013A92C,0x0013A924:sub_13A924,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034333,RUNTIME_RAM,0,1,1,0x0013A8E4,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034334,RUNTIME_RAM,0,2,1,0x0013A8EC 0x0013A920,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034335,RUNTIME_RAM,0,2,1,0x0013A8F4 0x0013A914,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034336,RUNTIME_RAM,0,2,1,0x0013A900 0x0013A90C,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034337,RUNTIME_RAM,1,1,1,0x0013AADC 0x0013AAEC,0x0013AA04:sub_13AA04,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034338,RUNTIME_RAM,1,1,1,0x00140F1C 0x00140F44,0x00140F14:sub_140F14,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803433C,RUNTIME_RAM,1,1,4,0x001422A0 0x00142814,0x00142128:sub_142128 | 0x00142808:sub_142808,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034340,RUNTIME_RAM,1,1,4,0x00142184 0x00142820,0x00142128:sub_142128 | 0x00142808:sub_142808,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034344,RUNTIME_RAM,1,2,4,0x00142600 0x0014262C 0x00142828,0x001425E8:sub_1425E8 | 0x00142808:sub_142808,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034348,RUNTIME_RAM,0,2,4,0x00142604 0x00142830,0x001425E8:sub_1425E8 | 0x00142808:sub_142808,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803434C,RUNTIME_RAM,1,0,2,0x00142F8C,0x00142F84:sub_142F84,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034354,RUNTIME_RAM,2,0,4,0x00149B8C 0x00149D3C,0x00149B80:sub_149B80,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80343B0,RUNTIME_RAM,1,0,1,0x0014B1A8,0x0014B18C:sub_14B18C,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80343B1,RUNTIME_RAM,1,1,1,0x0014DEB4 0x0014DF40,0x0014DEB8:sub_14DEB8,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80343B2,RUNTIME_RAM,1,1,1,0x0014DB5C 0x0014DBD0,0x0014D81C:sub_14D81C,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803444C,RUNTIME_RAM,1,0,4,0x0014F8E4,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034450,RUNTIME_RAM,1,0,4,0x0014F958,UNRESOLVED,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034454,RUNTIME_RAM,2,0,4,0x0015516C 0x00155170,0x0015508C:sub_15508C,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034468,RUNTIME_RAM,0,2,2,0x00150064 0x00150100,0x0014FFD4:sub_14FFD4,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034478,RUNTIME_RAM,2,3,1,0x00151950 0x00151A94 0x00151AB4 0x00151AC0 0x00151CA8,0x001518FC:sub_1518FC | 0x00151A20:sub_151A20 | 0x00151C40:sub_151C40,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034479,RUNTIME_RAM,3,2,1,0x0015194C 0x00151A68 0x00151A78 0x00151C94 0x00151C98,0x001518FC:sub_1518FC | 0x00151A20:sub_151A20 | 0x00151C40:sub_151C40,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803447A,RUNTIME_RAM,3,2,1,0x00151AE4 0x00151B08 0x00151BB4 0x00151D10 0x00151D34,0x00151A20:sub_151A20 | 0x00151C40:sub_151C40,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803447B,RUNTIME_RAM,3,0,1,0x00151AD0 0x00151BA0 0x00151D00,0x00151A20:sub_151A20 | 0x00151C40:sub_151C40,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80345F0,RUNTIME_RAM,1,0,4,0x0015A55C,0x0015A500:sub_15A500,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803460C,RUNTIME_RAM,1,5,4,0x00158708 0x00159F64 0x0015C2BC 0x0015C2D8 0x0015C41C 0x0015C7EC,0x00159F44:sub_159F44 | 0x0015C300:sub_15C300,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034630,RUNTIME_RAM,2,5,4,0x0015870C 0x0015A104 0x0015B9E0 0x0015C2B4 0x0015C2F4 0x0015C424 0x0015C7F8,0x0015A0A4:sub_15A0A4 | 0x0015B974:sub_15B974 | 0x0015C300:sub_15C300,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803466C,RUNTIME_RAM,1,0,4,0x0015C158,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034670,RUNTIME_RAM,1,0,4,0x0015C15C,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034674,RUNTIME_RAM,1,0,4,0x0015C168,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034678,RUNTIME_RAM,1,0,4,0x0015C16C,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803467C,RUNTIME_RAM,1,0,4,0x0015C178,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034680,RUNTIME_RAM,1,0,4,0x0015C17C,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034684,RUNTIME_RAM,1,0,4,0x0015C188,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034688,RUNTIME_RAM,1,0,4,0x0015C18C,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034694,RUNTIME_RAM,1,0,4,0x0015C0F0,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA8034698,RUNTIME_RAM,1,0,4,0x0015C0F4,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA803469C,RUNTIME_RAM,1,0,4,0x0015C100,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346A0,RUNTIME_RAM,1,0,4,0x0015C104,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346A4,RUNTIME_RAM,1,0,4,0x0015C110,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346A8,RUNTIME_RAM,1,0,4,0x0015C114,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346AC,RUNTIME_RAM,1,0,4,0x0015C120,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346B0,RUNTIME_RAM,1,0,4,0x0015C124,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346BC,RUNTIME_RAM,1,0,4,0x0015C088,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346C0,RUNTIME_RAM,1,0,4,0x0015C08C,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346C4,RUNTIME_RAM,1,0,4,0x0015C098,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346C8,RUNTIME_RAM,1,0,4,0x0015C09C,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346CC,RUNTIME_RAM,1,0,4,0x0015C0A8,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
0xA80346D0,RUNTIME_RAM,1,0,4,0x0015C0AC,0x0015BB50:sub_15BB50,HIGH,UNRESOLVED,SETHI/OR-or-ADD plus load/store immediate
