architecture,record,site,file_offset,raw_kind,dispatch_class,target_source,static_targets,resolution_status,containing_function,evidence
MCS-51/8051,0,0x00000F33,0x00000F73,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,0,0x00001123,0x00001163,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x000006A3,0x00008703,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x000009D3,0x00008A33,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00000A66,0x00008AC6,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00000A77,0x00008AD7,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00001C8B,0x00009CEB,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x000027B5,0x0000A815,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x000050A9,0x0000D109,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x000050AD,0x0000D10D,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x000050E7,0x0000D147,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00005104,0x0000D164,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00005E6A,0x0000DECA,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00006556,0x0000E5B6,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x00006621,0x0000E681,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x0000C0FD,0x0001415D,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x0000C9A7,0x00014A07,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x0000CC90,0x00014CF0,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,1,0x0000CF2D,0x00014F8D,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,2,0x00002491,0x00019FD1,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,2,0x00002784,0x0001A2C4,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
MCS-51/8051,2,0x000027D9,0x0001A319,computed-jump,jump-table-A-plus-DPTR,code[DPTR + A],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,UNRESOLVED,opcode 0x73 JMP @A+DPTR; live DPTR/A not captured
SPARC-V8-BE32,5,0x00100564,0x0012E564,computed-jump,jump-table-or-computed-dispatch,mem[%r28],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x001002CC:sub_1002CC,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x001015B0,0x0012F5B0,computed-jump,jump-table-or-computed-dispatch,mem[%r25],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x00101538:sub_101538,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x0010559C,0x0013359C,indirect-call,function-pointer-register,mem[%r11],NONE,UNRESOLVED_DATAFLOW_OR_RUNTIME,0x00105500:sub_105500,indirect call target loaded/computed through register
SPARC-V8-BE32,5,0x00105674,0x00133674,indirect-call,function-pointer-register,mem[%r10],NONE,UNRESOLVED_DATAFLOW_OR_RUNTIME,0x00105500:sub_105500,indirect call target loaded/computed through register
SPARC-V8-BE32,5,0x00107A64,0x00135A64,computed-jump,jump-table-or-computed-dispatch,mem[%r13],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x001079AC:sub_1079AC,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x00108D18,0x00136D18,computed-jump,jump-table-or-computed-dispatch,mem[%r13],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x00108B94:sub_108B94,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x00108FD0,0x00136FD0,computed-jump,jump-table-or-computed-dispatch,mem[%r13],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x00108DD0:sub_108DD0,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x00114040,0x00142040,computed-jump,jump-table-or-computed-dispatch,mem[%r13],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x00114004:sub_114004,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x00114420,0x00142420,computed-jump,jump-table-or-computed-dispatch,mem[%r13],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x001143F0:sub_1143F0,JMPL with rd=%g0; table/index contents not statically fixed
SPARC-V8-BE32,5,0x00114668,0x00142668,computed-jump,jump-table-or-computed-dispatch,mem[%r8],NONE,UNRESOLVED_RUNTIME_INDEX_OR_TABLE,0x00114530:sub_114530,JMPL with rd=%g0; table/index contents not statically fixed
