site,file_offset,target,access,width,data_register,ida_function
0x001001B8,0x0012E1B8,0xA8037F8E,load,1,10,0x0010018C:sub_10018C
0x001001D4,0x0012E1D4,0xA8037F8E,load,1,13,0x0010018C:sub_10018C
0x001001F0,0x0012E1F0,0xA8037F8E,load,1,10,0x0010018C:sub_10018C
0x00100274,0x0012E274,0xA8036801,store,1,12,0x00100234:sub_100234
0x00100280,0x0012E280,0xA8036870,store,1,12,0x00100234:sub_100234
0x00100284,0x0012E284,0xA8036864,load,1,8,0x00100234:sub_100234
0x00100290,0x0012E290,0xA8036864,store,1,1,0x00100234:sub_100234
0x001002A0,0x0012E2A0,0xA8036864,load,1,9,0x00100234:sub_100234
0x001002B8,0x0012E2B8,0xA8036864,load,1,12,0x00100234:sub_100234
0x001002C0,0x0012E2C0,0xA8036864,store,1,1,0x00100234:sub_100234
0x001002D4,0x0012E2D4,0xA8036860,load,1,13,0x001002CC:sub_1002CC
0x00100304,0x0012E304,0xA8036866,load,1,1,0x001002CC:sub_1002CC
0x00100324,0x0012E324,0xA8036866,store,1,8,0x001002CC:sub_1002CC
0x001003A8,0x0012E3A8,0xA8036867,load,1,13,0x001002CC:sub_1002CC
0x00100404,0x0012E404,0xA8036872,store,1,0,0x001002CC:sub_1002CC
0x00100468,0x0012E468,0xA8036864,load,1,17,0x001002CC:sub_1002CC
0x001004B8,0x0012E4B8,0xA8037F68,load,4,15,0x001002CC:sub_1002CC
0x0010051C,0x0012E51C,0xA8037EF9,load,1,13,0x001002CC:sub_1002CC
0x0010052C,0x0012E52C,0xA8037EF9,store,1,12,0x001002CC:sub_1002CC
0x001005C8,0x0012E5C8,0xA8036864,load,1,8,0x001002CC:sub_1002CC
0x001005D0,0x0012E5D0,0xA8036864,store,1,1,0x001002CC:sub_1002CC
0x00100708,0x0012E708,0xA8036862,load,2,20,0x001002CC:sub_1002CC
0x00100710,0x0012E710,0xA8036862,load,2,16,0x001002CC:sub_1002CC
0x00100718,0x0012E718,0xA8036862,store,2,1,0x001002CC:sub_1002CC
0x00100720,0x0012E720,0xA8036862,load,2,13,0x001002CC:sub_1002CC
0x0010072C,0x0012E72C,0xA8036862,store,2,18,0x001002CC:sub_1002CC
0x00100788,0x0012E788,0xA8037F8E,load,1,27,0x001002CC:sub_1002CC
0x00100860,0x0012E860,0xA8037F8E,load,1,10,0x001002CC:sub_1002CC
0x001008FC,0x0012E8FC,0xA8037F8E,load,1,15,0x001002CC:sub_1002CC
0x001009B4,0x0012E9B4,0xA8037F8E,load,1,10,0x001002CC:sub_1002CC
0x00100A90,0x0012EA90,0xA8037F8E,load,1,10,0x001002CC:sub_1002CC
0x00100B88,0x0012EB88,0xA8037F8E,load,1,1,0x001002CC:sub_1002CC
0x00100C60,0x0012EC60,0xA8037F8E,load,1,10,0x001002CC:sub_1002CC
0x00100E64,0x0012EE64,0xA8037F8E,load,1,9,0x001002CC:sub_1002CC
0x00100EFC,0x0012EEFC,0xA8036862,load,2,13,0x001002CC:sub_1002CC
0x00100F0C,0x0012EF0C,0xA8036862,store,2,15,0x001002CC:sub_1002CC
0x00100F14,0x0012EF14,0xA8036864,load,1,15,0x001002CC:sub_1002CC
0x00100F1C,0x0012EF1C,0xA8036864,store,1,10,0x001002CC:sub_1002CC
0x00100FF0,0x0012EFF0,0xA8036864,load,1,20,0x001002CC:sub_1002CC
0x00100FF8,0x0012EFF8,0xA8036864,store,1,18,0x001002CC:sub_1002CC
0x00101044,0x0012F044,0xA8037F8E,load,1,24,0x001002CC:sub_1002CC
0x00101230,0x0012F230,0xA8036864,load,1,11,0x001002CC:sub_1002CC
0x00101238,0x0012F238,0xA8036864,store,1,23,0x001002CC:sub_1002CC
0x001012E8,0x0012F2E8,0xA8036864,store,1,0,0x001002CC:sub_1002CC
0x001013D4,0x0012F3D4,0xA8036860,load,1,1,
0x001013EC,0x0012F3EC,0xA8037FC0,load,4,13,
0x00101404,0x0012F404,0xA8034000,store,1,11,
0x00101408,0x0012F408,0xA8034001,store,1,11,
0x0010140C,0x0012F40C,0xA8034003,store,1,11,
0x00101410,0x0012F410,0xA8034002,store,1,11,
0x0010148C,0x0012F48C,0xA8036860,load,1,1,
0x001014A0,0x0012F4A0,0xA8036860,load,1,9,
0x001014AC,0x0012F4AC,0xA8036860,store,1,8,
0x001014F4,0x0012F4F4,0xA8037FC0,load,4,16,
0x00101514,0x0012F514,0xA8034000,store,1,9,
0x00101518,0x0012F518,0xA8034001,store,1,9,
0x0010151C,0x0012F51C,0xA8034003,store,1,9,
0x00101520,0x0012F520,0xA8034002,store,1,9,
0x001016B0,0x0012F6B0,0xA8037F8E,load,1,13,0x00101538:sub_101538
0x001016C8,0x0012F6C8,0xA8037F8F,store,1,8,0x00101538:sub_101538
0x001016DC,0x0012F6DC,0xA8036865,load,1,9,0x00101538:sub_101538
0x001016E8,0x0012F6E8,0xA8036865,store,1,1,0x00101538:sub_101538
0x001016F0,0x0012F6F0,0xA8037F68,load,4,13,0x00101538:sub_101538
0x00101708,0x0012F708,0xA8037F68,store,4,8,0x00101538:sub_101538
0x00101734,0x0012F734,0xA8036865,load,1,24,0x00101538:sub_101538
0x00101740,0x0012F740,0xA8036865,store,1,1,0x00101538:sub_101538
0x00101750,0x0012F750,0xA8037F8D,load,1,8,0x00101538:sub_101538
0x0010177C,0x0012F77C,0xA8037F8D,store,1,8,0x00101538:sub_101538
0x00101798,0x0012F798,0xA8036865,load,1,10,0x00101538:sub_101538
0x001017A4,0x0012F7A4,0xA8036865,store,1,1,0x00101538:sub_101538
0x001017B4,0x0012F7B4,0xA8036862,load,2,25,0x00101538:sub_101538
0x001017C0,0x0012F7C0,0xA8036862,store,2,13,0x00101538:sub_101538
0x001017E0,0x0012F7E0,0xA8036862,load,2,11,0x00101538:sub_101538
0x001017EC,0x0012F7EC,0xA8036862,store,2,1,0x00101538:sub_101538
0x001017FC,0x0012F7FC,0xA8036862,load,2,10,0x00101538:sub_101538
0x00101808,0x0012F808,0xA8036862,store,2,1,0x00101538:sub_101538
0x00101818,0x0012F818,0xA8036862,load,2,1,0x00101538:sub_101538
0x00101824,0x0012F824,0xA8036862,store,2,1,0x00101538:sub_101538
0x0010182C,0x0012F82C,0xA8037F68,load,4,13,0x00101538:sub_101538
0x00101848,0x0012F848,0xA8037F68,store,4,1,0x00101538:sub_101538
0x00101864,0x0012F864,0xA8036865,load,1,11,0x00101538:sub_101538
0x00101870,0x0012F870,0xA8036865,store,1,1,0x00101538:sub_101538
0x001018B0,0x0012F8B0,0xA8037EF9,load,1,9,0x00101538:sub_101538
0x001018EC,0x0012F8EC,0xA8037EF9,load,1,24,0x00101538:sub_101538
