slot,setter,registration_site,callback,callback_file_offset,callback_is_candidate_start
0xA8034FB4,0x00191A3C,0x0017AA68,0x0017C39C,0x001AA39C,False
0xA8037C4C,0x00184498,0x0017AA38,0x0017ABA0,0x001A8BA0,False
0xA8037CA4,0x00185054,0x0017AA50,0x001E4718,0x00212718,False
0xA8037D80,0x001A4DCC,0x0017A904,0x0017D794,0x001AB794,False
0xA8037D84,0x001A4DD8,0x0017A914,0x001D27D8,0x002007D8,False
0xA8037D88,0x001A4DE4,0x0017A92C,0x001E09EC,0x0020E9EC,False
0xA8037D8C,0x001A4DF0,0x0017A920,0x001D3270,0x00201270,False
0xA8037D90,0x001A4DFC,0x0017A938,0x001CAD98,0x001F8D98,False
0xA8037D94,0x001A4E08,0x0017A998,0x001E053C,0x0020E53C,False
0xA8037D98,0x001A4E14,0x0017A950,0x001E0138,0x0020E138,False
0xA8037D9C,0x001A4E20,0x0017A95C,0x001DEA2C,0x0020CA2C,False
0xA8037DA0,0x001A4E2C,0x0017A968,0x001D86F0,0x002066F0,False
0xA8037DAC,0x001A4E50,0x0017A944,0x001E0BF0,0x0020EBF0,False
0xA8037DB0,0x001A4E5C,0x0017A980,0x001BE404,0x001EC404,False
0xA8037DB4,0x001A4E68,0x0017AA10,0x001DBC6C,0x00209C6C,False
0xA8037DB8,0x001A4E74,0x0017A98C,0x001D8B98,0x00206B98,False
0xA8037DBC,0x001A4E80,0x0017AA44,0x001B6B8C,0x001E4B8C,False
0xA8037DC0,0x001A4E8C,0x0017A9A4,0x001D4774,0x00202774,False
0xA8037DC4,0x001A4E98,0x0017A9B0,0x001D4954,0x00202954,False
0xA8037DC8,0x001A4EA4,0x0017A9BC,0x001D4C1C,0x00202C1C,False
0xA8037DCC,0x001A4EB0,0x0017A9C8,0x001D4D64,0x00202D64,False
0xA8037DD0,0x001A4EBC,0x0017A9D4,0x001D4E48,0x00202E48,False
0xA8037DD8,0x001A4ED4,0x0017AA04,0x001DD460,0x0020B460,False
0xA8037DDC,0x001A4EE0,0x0017A9F4,0x001E447C,0x0021247C,False
0xA8037E14,0x001AE9B0,0x0017AA2C,0x0017B0F8,0x001A90F8,False
0xA8037E28,0x001B2B4C,0x0017AA18,0x0017B0F8,0x001A90F8,False
0xA803C08C,0x001AFDC4,0x0017AA24,0x0017B8D4,0x001A98D4,False
