function_address,ida_name,candidate,evidence_count,evidence_addresses,candidates_for_function,confidence
0x00116498,sub_116498,Sec_ConfigDispSize,4,0x001F79D0,1,single-candidate
0x001179C8,sub_1179C8,SecHalBoard_SetBacklight,4,0x001F7AB0,1,single-candidate
0x00117A64,sub_117A64,SecHalBoard_SetPanelPower,4,0x001F7AD0,1,single-candidate
0x00117C0C,sub_117C0C,SecHalBoard_SetBacklight,2,0x001F7AB0,1,single-candidate
0x00117D64,sub_117D64,SecHalBoard_SetBackLightOn,2,0x001F7AF0,2,ranked-ambiguous
0x00117D64,sub_117D64,SecHalBoard_SetBacklight,2,0x001F7AB0,2,ranked-ambiguous
0x00117DE4,sub_117DE4,SecHalBoard_SetBackLightOff,2,0x001F7B10,2,ranked-ambiguous
0x00117DE4,sub_117DE4,SecHalBoard_SetBacklight,2,0x001F7AB0,2,ranked-ambiguous
0x001180E8,sub_1180E8,SecHalBoard_TurnOnOffUsbPortPwr,2,0x001F7C08,1,single-candidate
0x00118148,sub_118148,SecHalBoard_TurnOnOffUsbAPwr,2,0x001F7C28,1,single-candidate
0x0011D580,sub_11D580,SecAppOsd_PrintQRcode,2,0x001F7D78,1,single-candidate
0x0011D8C4,sub_11D8C4,SecHalScaler_ConfigScalerAfterWindowMute,2,0x001F7DA8,1,single-candidate
0x0011E2A8,sub_11E2A8,SecHalScaler_UpdateOutputHTTInfo_CallBack,2,0x001F7E00,1,single-candidate
0x0011E320,sub_11E320,SecHalScaler_UpdateOutputVTTInfo_CallBack,2,0x001F7E30,1,single-candidate
0x0011E3A4,sub_11E3A4,SecHalScaler_UpdateOutputHFreqInfo_CallBack,2,0x001F7E60,1,single-candidate
0x0011E428,sub_11E428,SecHalScaler_UpdateOutputVFreqInfo_CallBack,2,0x001F7E90,1,single-candidate
0x0011E4AC,sub_11E4AC,SecHalScaler_UpdateOutputDCLKInfo_CallBack,2,0x001F7EC0,1,single-candidate
0x0011E530,sub_11E530,SecHalScaler_UpdateOutputSyncLockInfo_CallBack,2,0x001F7EF0,1,single-candidate
0x0011EB44,sub_11EB44,__getVendorPortNameFromEdidPortName,2,0x001F8318,1,single-candidate
0x0011EBCC,sub_11EBCC,SecHalScaler_ToggleHPD,2,0x001F8340,1,single-candidate
0x0011ED60,sub_11ED60,SecHalScaler_IsEdidPortValid,2,0x001F8358,1,single-candidate
0x0011EDFC,sub_11EDFC,__getVendorPortNameFromEdidPortName,1,0x001F8318,1,single-candidate
0x0011EF80,sub_11EF80,__getVendorPortNameFromEdidPortName,1,0x001F8318,1,single-candidate
0x0011F06C,sub_11F06C,__getVendorPortNameFromEdidPortName,1,0x001F8318,1,single-candidate
0x0011F1A4,sub_11F1A4,SecHalScaler_ReadEdidData,2,0x001F8378,3,ranked-ambiguous
0x0011F1A4,sub_11F1A4,__getEdidAddr,2,0x001F8460,3,ranked-ambiguous
0x0011F1A4,sub_11F1A4,__getVendorPortNameFromEdidPortName,1,0x001F8318,3,ranked-ambiguous
0x0011F43C,sub_11F43C,__getVendorPortNameFromEdidPortName,4,0x001F8318,3,ranked-ambiguous
0x0011F43C,sub_11F43C,SecHalScaler_WriteEdidData,3,0x001F8398,3,ranked-ambiguous
0x0011F43C,sub_11F43C,__getEdidAddr,2,0x001F8460,3,ranked-ambiguous
0x00120BC0,sub_120BC0,SecHalScaler_SetSaturation,2,0x001F8538,1,single-candidate
0x00121328,sub_121328,SecHalScaler_SetSharpness,4,0x001F8558,1,single-candidate
0x001218A8,sub_1218A8,SecHalScaler_SetPreRevGamma,12,0x001F8578,1,single-candidate
0x001229F8,sub_1229F8,SecHalScaler_GetVendorSrcIndexBySecSrcName,3,0x001F87F8,2,ranked-ambiguous
0x001229F8,sub_1229F8,SecHalScaler_SetInputSource,2,0x001F8828,2,ranked-ambiguous
0x00122B74,sub_122B74,SecHalScaler_UpdateInputWidthInfo_CallBack,4,0x001F8848,1,single-candidate
0x00122C60,sub_122C60,SecHalScaler_UpdateInputHeightInfo_CallBack,2,0x001F8878,1,single-candidate
0x00122CE8,sub_122CE8,SecHalScaler_UpdateInputHfreqInfo_CallBack,2,0x001F88A8,1,single-candidate
0x00122D70,sub_122D70,SecHalScaler_UpdateInputVfreqInfo_CallBack,2,0x001F88D8,1,single-candidate
0x00122DF8,sub_122DF8,SecHalScaler_UpdateInputInterlaceInfo_CallBack,2,0x001F8908,1,single-candidate
0x00122E80,sub_122E80,SecHalScaler_UpdateInputVRRInfo_CallBack,2,0x001F8938,1,single-candidate
0x00122F08,sub_122F08,SecHalScaler_GetVendorSrcIndexBySecSrcName,3,0x001F87F8,1,single-candidate
0x00123010,sub_123010,SecHalScaler_GetVendorSrcIndexBySecSrcName,3,0x001F87F8,1,single-candidate
0x0012319C,sub_12319C,SecHalScaler_GetVendorSrcIndexBySecSrcName,3,0x001F87F8,1,single-candidate
0x0012336C,sub_12336C,SecHalScaler_GetSourceNameByDPMSCablePlugInfo,4,0x001F8968,1,single-candidate
0x0012345C,sub_12345C,SecHalScaler_GetVendorSrcIndexBySecSrcName,3,0x001F87F8,1,single-candidate
0x00123620,sub_123620,SecHalScaler_UpdateSyncState_CallBack,6,0x001F8998,1,single-candidate
0x00123AC4,sub_123AC4,SecHalScaler_GetVendorSrcIndexBySecSrcName,3,0x001F87F8,1,single-candidate
0x00124184,sub_124184,SecHalScaler_IsWakeupByCableDisconnection,2,0x001F8E70,1,single-candidate
0x001241E8,sub_1241E8,SecHalScaler_IsWakeupByJogPowerKey,2,0x001F8EA0,1,single-candidate
0x0012424C,sub_12424C,SecHalScaler_IsWakeupByJogLeftRightKey,2,0x001F8EC8,1,single-candidate
0x001242B0,sub_1242B0,SecHalScaler_IsWakeupByOtherSourceCableConnection,2,0x001F8EF0,1,single-candidate
0x00124804,sub_124804,SecHalScaler_SetUsbSwitch,2,0x001F8F28,1,single-candidate
0x00124A20,sub_124A20,SecHalUserData_SaveDiffToEEPROM,2,0x001F90C8,1,single-candidate
0x00124F34,sub_124F34,SecHalUserData_SavePictureDataBlock,5,0x001F90E8,1,single-candidate
0x00129D64,sub_129D64,DRV_LDC_SetPanelResolution,1,0x001F9F60,1,single-candidate
0x00129E54,sub_129E54,DRV_LDC_UpdateSegmentBoundary,2,0x001F9F88,1,single-candidate
0x0012A074,sub_12A074,DRV_LDC_SetLDCSegment,2,0x001F9FA8,1,single-candidate
0x0012A734,sub_12A734,DRV_LDC_Intensity_Gain_Update,2,0x001F9FC0,1,single-candidate
0x0013B0B8,sub_13B0B8,FRC_AutoFrameDown,1,0x001FE730,1,single-candidate
