address,end,size,name,instructions,callers,callees,string_evidence,direct_categories,graph_inferred_categories
0x0010018C,0x00100234,0xA8,sub_10018C,42,8,0,0,unclassified,persistent_data
0x00100234,0x001002CC,0x98,sub_100234,38,1,0,0,unclassified,
0x001002CC,0x00101368,0x109C,sub_1002CC,1053,1,13,0,unclassified,
0x00101368,0x00101370,0x8,nullsub_14,2,1,0,0,unclassified,
0x00101538,0x00101C1C,0x6E4,sub_101538,411,1,23,0,unclassified,
0x00101C1C,0x00101E74,0x258,sub_101C1C,150,1,12,0,unclassified,
0x00101E74,0x00101E8C,0x18,sub_101E74,6,0,0,0,unclassified,
0x00101E8C,0x00101EA0,0x14,sub_101E8C,5,1,0,0,unclassified,
0x00101EA0,0x00101EB0,0x10,sub_101EA0,4,3,0,0,unclassified,
0x00101EB0,0x00102018,0x168,sub_101EB0,89,1,2,0,unclassified,
0x00102018,0x00102118,0x100,sub_102018,63,1,2,0,unclassified,
0x00102118,0x00102154,0x3C,sub_102118,15,0,3,0,unclassified,video_link
0x00102154,0x001021BC,0x68,sub_102154,26,0,2,0,unclassified,
0x0010251C,0x00102854,0x338,sub_10251C,205,2,6,0,unclassified,
0x00102854,0x0010294C,0xF8,sub_102854,62,2,3,0,unclassified,scaler_panel
0x0010294C,0x00102CA0,0x354,sub_10294C,213,0,14,0,unclassified,scaler_panel
0x00102CA0,0x00102F24,0x284,sub_102CA0,161,0,13,0,unclassified,scaler_panel
0x00102F2C,0x00102FB8,0x8C,sub_102F2C,35,2,1,0,unclassified,
0x00102FB8,0x00103044,0x8C,sub_102FB8,35,3,1,0,unclassified,
0x00103044,0x00103064,0x20,sub_103044,8,1,1,0,unclassified,
0x00103064,0x00103310,0x2AC,sub_103064,171,2,41,0,unclassified,
0x00103310,0x001035D0,0x2C0,sub_103310,176,0,29,0,unclassified,
0x001035D0,0x00103770,0x1A0,sub_1035D0,104,0,12,0,unclassified,
0x00103770,0x00103894,0x124,sub_103770,73,1,1,0,unclassified,
0x00103894,0x00103B04,0x270,sub_103894,154,5,12,0,unclassified,
0x00103B04,0x00103B8C,0x88,sub_103B04,27,0,1,0,unclassified,
0x00103B8C,0x00103D00,0x174,sub_103B8C,93,3,5,0,unclassified,
0x00103D00,0x00103D1C,0x1C,sub_103D00,7,1,0,0,unclassified,
0x00103D1C,0x00103D38,0x1C,sub_103D1C,7,1,0,0,unclassified,
0x00103D38,0x00103D54,0x1C,sub_103D38,7,1,0,0,unclassified,
0x00103D54,0x00103D70,0x1C,sub_103D54,7,1,0,0,unclassified,
0x00103D70,0x00103D8C,0x1C,sub_103D70,7,1,0,0,unclassified,
0x00103D8C,0x00103DA8,0x1C,sub_103D8C,7,1,0,0,unclassified,
0x00103DA8,0x00103DBC,0x14,sub_103DA8,5,1,1,0,unclassified,
0x00103DBC,0x001045D8,0x81C,sub_103DBC,519,1,21,0,unclassified,ddc_ci
0x001045D8,0x00104640,0x68,sub_1045D8,24,1,1,0,unclassified,
