address,file_offset,rd,rs1,immediate,displacement,kind,target_source,ida_function
0x00100564,0x0012E564,0,17,False,0,computed-jump,mem[%r28],0x001002CC:sub_1002CC
0x001015B0,0x0012F5B0,0,12,False,0,computed-jump,mem[%r25],0x00101538:sub_101538
0x0010559C,0x0013359C,15,13,False,0,indirect-call,mem[%r11],0x00105500:sub_105500
0x00105674,0x00133674,15,13,False,0,indirect-call,mem[%r10],0x00105500:sub_105500
0x00107A64,0x00135A64,0,12,False,0,computed-jump,mem[%r13],0x001079AC:sub_1079AC
0x00108D18,0x00136D18,0,11,False,0,computed-jump,mem[%r13],0x00108B94:sub_108B94
0x00108FD0,0x00136FD0,0,12,False,0,computed-jump,mem[%r13],0x00108DD0:sub_108DD0
0x00114040,0x00142040,0,12,False,0,computed-jump,mem[%r13],0x00114004:sub_114004
0x00114420,0x00142420,0,12,False,0,computed-jump,mem[%r13],0x001143F0:sub_1143F0
0x00114668,0x00142668,0,16,False,0,computed-jump,mem[%r8],0x00114530:sub_114530
0x0011498C,0x0014298C,0,12,False,0,computed-jump,mem[%r11],0x00114904:sub_114904
0x001151A4,0x001431A4,0,12,False,0,computed-jump,mem[%r13],0x00114DF8:sub_114DF8
0x00115D5C,0x00143D5C,0,12,False,0,computed-jump,mem[%r13],0x00115D30:sub_115D30
0x00115EE0,0x00143EE0,0,12,False,0,computed-jump,mem[%r13],0x00115E54:sub_115E54
0x00115F2C,0x00143F2C,0,8,False,0,computed-jump,mem[%r15],0x00115E54:sub_115E54
0x001165C8,0x001445C8,0,29,False,0,computed-jump,mem[%r13],0x00116498:sub_116498
0x00116684,0x00144684,0,12,False,0,computed-jump,mem[%r13],0x00116498:sub_116498
0x00118B18,0x00146B18,0,12,False,0,computed-jump,mem[%r13],
0x0011BAE4,0x00149AE4,0,24,False,0,computed-jump,mem[%r29],0x0011BA10:sub_11BA10
0x0011DA34,0x0014BA34,0,12,False,0,computed-jump,mem[%r13],
0x0011DE20,0x0014BE20,0,12,False,0,computed-jump,mem[%r13],0x0011DE08:sub_11DE08
0x0011E640,0x0014C640,0,16,False,0,computed-jump,mem[%r25],0x0011E5B4:sub_11E5B4
0x0011FF4C,0x0014DF4C,0,12,False,0,computed-jump,mem[%r18],0x0011F9B0:sub_11F9B0
0x00121084,0x0014F084,0,12,False,0,computed-jump,mem[%r13],0x00121050:sub_121050
0x001210E8,0x0014F0E8,0,12,False,0,computed-jump,mem[%r13],0x001210B4:sub_1210B4
0x001212BC,0x0014F2BC,0,12,False,0,computed-jump,mem[%r13],0x00121288:sub_121288
0x00122730,0x00150730,0,12,False,0,computed-jump,mem[%r13],
0x00122888,0x00150888,0,12,False,0,computed-jump,mem[%r13],
0x00122A44,0x00150A44,0,12,False,0,computed-jump,mem[%r13],0x001229F8:sub_1229F8
0x00122F28,0x00150F28,0,12,False,0,computed-jump,mem[%r13],0x00122F08:sub_122F08
0x00123030,0x00151030,0,12,False,0,computed-jump,mem[%r13],0x00123010:sub_123010
0x001231BC,0x001511BC,0,12,False,0,computed-jump,mem[%r13],0x0012319C:sub_12319C
0x0012347C,0x0015147C,0,12,False,0,computed-jump,mem[%r13],0x0012345C:sub_12345C
0x00123AE4,0x00151AE4,0,12,False,0,computed-jump,mem[%r13],0x00123AC4:sub_123AC4
0x00124364,0x00152364,0,12,False,0,computed-jump,mem[%r13],0x00124344:sub_124344
0x00124640,0x00152640,0,12,False,0,computed-jump,mem[%r15],0x00124600:sub_124600
0x0012519C,0x0015319C,0,12,False,0,computed-jump,mem[%r13],0x0012517C:sub_12517C
0x00125AEC,0x00153AEC,15,18,False,0,indirect-call,mem[%r18+0x20],0x0012579C:sub_12579C
0x00126334,0x00154334,0,12,False,0,computed-jump,mem[%r13],0x00126314:sub_126314
0x00126430,0x00154430,0,12,False,0,computed-jump,mem[%r13],
0x00126604,0x00154604,0,12,False,0,computed-jump,mem[%r13],0x001265E8:sub_1265E8
0x00126774,0x00154774,0,12,False,0,computed-jump,mem[%r13],0x00126754:sub_126754
0x001268D4,0x001548D4,0,12,False,0,computed-jump,mem[%r13],
0x00126A48,0x00154A48,0,12,False,0,computed-jump,mem[%r13],0x00126A2C:sub_126A2C
0x00126C94,0x00154C94,0,12,False,0,computed-jump,mem[%r13],0x00126C74:sub_126C74
0x00127130,0x00155130,0,12,False,0,computed-jump,mem[%r13],0x00127110:sub_127110
0x00127C40,0x00155C40,0,12,False,0,computed-jump,mem[%r13],0x00127C1C:sub_127C1C
0x0012ADE8,0x00158DE8,0,12,False,0,computed-jump,mem[%r9],
0x0012AEA0,0x00158EA0,0,9,False,0,computed-jump,mem[%r13],
0x0012AF30,0x00158F30,0,12,False,0,computed-jump,mem[%r13],
0x0012AFC0,0x00158FC0,0,12,False,0,computed-jump,mem[%r13],
0x00130660,0x0015E660,0,12,False,0,computed-jump,mem[%r13],0x0013059C:sub_13059C
0x001321EC,0x001601EC,0,12,False,0,computed-jump,mem[%r10],0x00132148:sub_132148
0x001331B4,0x001611B4,0,12,False,0,computed-jump,mem[%r13],0x00133198:sub_133198
0x001355A4,0x001635A4,0,12,False,0,computed-jump,mem[%r9],0x00135484:sub_135484
0x00135768,0x00163768,0,12,False,0,computed-jump,mem[%r13],0x00135730:sub_135730
0x00135820,0x00163820,0,12,False,0,computed-jump,mem[%r13],0x001357E0:sub_1357E0
0x00136998,0x00164998,0,12,False,0,computed-jump,mem[%r13],
0x00136CC4,0x00164CC4,0,12,False,0,computed-jump,mem[%r13],
0x00138D2C,0x00166D2C,0,12,False,0,computed-jump,mem[%r13],0x00138CF8:sub_138CF8
0x0013A03C,0x0016803C,0,12,False,0,computed-jump,mem[%r13],
0x0013FFB0,0x0016DFB0,0,12,False,0,computed-jump,mem[%r13],0x0013FF88:sub_13FF88
0x00140448,0x0016E448,0,10,False,0,computed-jump,mem[%r11],
0x00140550,0x0016E550,0,22,False,0,computed-jump,mem[%r23],
0x00140674,0x0016E674,0,8,False,0,computed-jump,mem[%r13],
0x00140778,0x0016E778,0,22,False,0,computed-jump,mem[%r23],
0x00142FC4,0x00170FC4,0,24,False,0,computed-jump,mem[%r28],0x00142F84:sub_142F84
0x00143978,0x00171978,0,12,False,0,computed-jump,mem[%r13],0x00143830:sub_143830
0x00146B50,0x00174B50,0,28,False,0,computed-jump,mem[%r1],0x001469FC:sub_1469FC
