address,file_offset,ida_defined,direct_call_count,save_prologue,follows_return_delay_slot,ida_container,confidence,reasons
0x0010018C,0x0012E18C,True,9,False,False,,ida-defined,ida|direct-call-x9
0x00100234,0x0012E234,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x001002CC,0x0012E2CC,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00101368,0x0012F368,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00101370,0x0012F370,False,8,True,True,,high,direct-call-x8|save-prologue|after-return-delay-slot
0x00101538,0x0012F538,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00101C1C,0x0012FC1C,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00101E74,0x0012FE74,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00101E8C,0x0012FE8C,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00101EA0,0x0012FEA0,True,9,False,True,,ida-defined,ida|direct-call-x9|after-return-delay-slot
0x00101EB0,0x0012FEB0,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00102018,0x00130018,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00102118,0x00130118,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x00102154,0x00130154,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x001021BC,0x001301BC,False,0,True,True,,medium,save-prologue|after-return-delay-slot
0x001021DC,0x001301DC,False,0,True,False,,low,save-prologue
0x00102384,0x00130384,False,0,True,True,,medium,save-prologue|after-return-delay-slot
0x001023B0,0x001303B0,False,0,True,True,,medium,save-prologue|after-return-delay-slot
0x0010251C,0x0013051C,True,2,True,True,,ida-defined,ida|direct-call-x2|save-prologue|after-return-delay-slot
0x00102854,0x00130854,True,2,True,True,,ida-defined,ida|direct-call-x2|save-prologue|after-return-delay-slot
0x0010294C,0x0013094C,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x00102CA0,0x00130CA0,True,0,True,False,,ida-defined,ida|save-prologue
0x00102F2C,0x00130F2C,True,13,True,True,,ida-defined,ida|direct-call-x13|save-prologue|after-return-delay-slot
0x00102FB8,0x00130FB8,True,9,True,True,,ida-defined,ida|direct-call-x9|save-prologue|after-return-delay-slot
0x00103044,0x00131044,True,7,True,True,,ida-defined,ida|direct-call-x7|save-prologue|after-return-delay-slot
0x00103064,0x00131064,True,5,True,True,,ida-defined,ida|direct-call-x5|save-prologue|after-return-delay-slot
0x00103310,0x00131310,True,0,True,False,,ida-defined,ida|save-prologue
0x00103404,0x00131404,False,0,True,False,0x00103310:sub_103310,low,save-prologue
0x0010345C,0x0013145C,False,4,True,False,0x00103310:sub_103310,high,direct-call-x4|save-prologue
0x001035D0,0x001315D0,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x00103724,0x00131724,False,0,True,False,0x001035D0:sub_1035D0,low,save-prologue
0x00103770,0x00131770,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00103894,0x00131894,True,6,True,True,,ida-defined,ida|direct-call-x6|save-prologue|after-return-delay-slot
0x00103B04,0x00131B04,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x00103B8C,0x00131B8C,True,5,True,False,,ida-defined,ida|direct-call-x5|save-prologue
0x00103CE8,0x00131CE8,False,1,False,False,0x00103B8C:sub_103B8C,low,direct-call-x1
0x00103D00,0x00131D00,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103D1C,0x00131D1C,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103D38,0x00131D38,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103D54,0x00131D54,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103D70,0x00131D70,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103D8C,0x00131D8C,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103DA8,0x00131DA8,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00103DBC,0x00131DBC,True,1,True,False,,ida-defined,ida|direct-call-x1|save-prologue
0x001045D8,0x001325D8,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00104640,0x00132640,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00104718,0x00132718,True,1,False,False,,ida-defined,ida|direct-call-x1
0x00104728,0x00132728,True,13,False,False,,ida-defined,ida|direct-call-x13
0x001047B4,0x001327B4,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x0010487C,0x0013287C,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00104884,0x00132884,True,3,True,True,,ida-defined,ida|direct-call-x3|save-prologue|after-return-delay-slot
0x00104C60,0x00132C60,True,7,True,True,,ida-defined,ida|direct-call-x7|save-prologue|after-return-delay-slot
0x00104D40,0x00132D40,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x00104E20,0x00132E20,True,5,False,True,,ida-defined,ida|direct-call-x5|after-return-delay-slot
0x00104EF8,0x00132EF8,True,2,True,True,,ida-defined,ida|direct-call-x2|save-prologue|after-return-delay-slot
0x00104FD8,0x00132FD8,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00104FE4,0x00132FE4,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00104FF0,0x00132FF0,True,1,False,True,,ida-defined,ida|direct-call-x1|after-return-delay-slot
0x00104FFC,0x00132FFC,True,1,True,True,,ida-defined,ida|direct-call-x1|save-prologue|after-return-delay-slot
0x001050A4,0x001330A4,True,2,True,False,,ida-defined,ida|direct-call-x2|save-prologue
0x00105238,0x00133238,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x001053A8,0x001333A8,True,1,True,False,,ida-defined,ida|direct-call-x1|save-prologue
0x0010542C,0x0013342C,True,2,False,False,,ida-defined,ida|direct-call-x2
0x00105438,0x00133438,True,2,True,True,,ida-defined,ida|direct-call-x2|save-prologue|after-return-delay-slot
0x00105500,0x00133500,True,1,True,False,,ida-defined,ida|direct-call-x1|save-prologue
0x001056B8,0x001336B8,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x001056E0,0x001336E0,False,1,True,False,0x001056B8:sub_1056B8,high,direct-call-x1|save-prologue
0x00105724,0x00133724,True,0,True,True,,ida-defined,ida|save-prologue|after-return-delay-slot
0x00105778,0x00133778,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105810,0x00133810,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x0010587C,0x0013387C,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105928,0x00133928,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105994,0x00133994,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105A40,0x00133A40,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105AAC,0x00133AAC,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105B58,0x00133B58,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105BC4,0x00133BC4,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105C70,0x00133C70,False,0,True,False,0x00105724:sub_105724,low,save-prologue
0x00105CF4,0x00133CF4,False,0,True,False,0x00105724:sub_105724,low,save-prologue
