function_address,ida_name,inferred_name,evidence_address,evidence_ambiguity
0x00116498,sub_116498,Sec_ConfigDispSize,0x001F79D0,single-function-xref
0x001179C8,sub_1179C8,SecHalBoard_SetBacklight,0x001F7AB0,shared-string
0x00117A64,sub_117A64,SecHalBoard_SetPanelPower,0x001F7AD0,single-function-xref
0x00117C0C,sub_117C0C,SecHalBoard_SetBacklight,0x001F7AB0,shared-string
0x00117D64,sub_117D64,SecHalBoard_SetBacklight,0x001F7AB0,shared-string
0x00117D64,sub_117D64,SecHalBoard_SetBackLightOn,0x001F7AF0,single-function-xref
0x00117DE4,sub_117DE4,SecHalBoard_SetBacklight,0x001F7AB0,shared-string
0x00117DE4,sub_117DE4,SecHalBoard_SetBackLightOff,0x001F7B10,single-function-xref
0x001180E8,sub_1180E8,SecHalBoard_TurnOnOffUsbPortPwr,0x001F7C08,single-function-xref
0x00118148,sub_118148,SecHalBoard_TurnOnOffUsbAPwr,0x001F7C28,single-function-xref
0x0011D8C4,sub_11D8C4,SecHalScaler_ConfigScalerAfterWindowMute,0x001F7DA8,single-function-xref
0x0011E2A8,sub_11E2A8,SecHalScaler_UpdateOutputHTTInfo_CallBack,0x001F7E00,single-function-xref
0x0011E320,sub_11E320,SecHalScaler_UpdateOutputVTTInfo_CallBack,0x001F7E30,single-function-xref
0x0011E3A4,sub_11E3A4,SecHalScaler_UpdateOutputHFreqInfo_CallBack,0x001F7E60,single-function-xref
0x0011E428,sub_11E428,SecHalScaler_UpdateOutputVFreqInfo_CallBack,0x001F7E90,single-function-xref
0x0011E4AC,sub_11E4AC,SecHalScaler_UpdateOutputDCLKInfo_CallBack,0x001F7EC0,single-function-xref
0x0011E530,sub_11E530,SecHalScaler_UpdateOutputSyncLockInfo_CallBack,0x001F7EF0,single-function-xref
0x0011EB44,sub_11EB44,__getVendorPortNameFromEdidPortName,0x001F8318,shared-string
0x0011EBCC,sub_11EBCC,SecHalScaler_ToggleHPD,0x001F8340,single-function-xref
0x0011ED60,sub_11ED60,SecHalScaler_IsEdidPortValid,0x001F8358,single-function-xref
0x0011EDFC,sub_11EDFC,__getVendorPortNameFromEdidPortName,0x001F8318,shared-string
0x0011EF80,sub_11EF80,__getVendorPortNameFromEdidPortName,0x001F8318,shared-string
0x0011F06C,sub_11F06C,__getVendorPortNameFromEdidPortName,0x001F8318,shared-string
0x0011F1A4,sub_11F1A4,__getVendorPortNameFromEdidPortName,0x001F8318,shared-string
0x0011F1A4,sub_11F1A4,SecHalScaler_ReadEdidData,0x001F8378,single-function-xref
0x0011F43C,sub_11F43C,__getVendorPortNameFromEdidPortName,0x001F8318,shared-string
0x0011F43C,sub_11F43C,SecHalScaler_WriteEdidData,0x001F8398,single-function-xref
0x00120BC0,sub_120BC0,SecHalScaler_SetSaturation,0x001F8538,single-function-xref
0x00121328,sub_121328,SecHalScaler_SetSharpness,0x001F8558,single-function-xref
0x001218A8,sub_1218A8,SecHalScaler_SetPreRevGamma,0x001F8578,single-function-xref
0x001229F8,sub_1229F8,SecHalScaler_GetVendorSrcIndexBySecSrcName,0x001F87F8,shared-string
0x001229F8,sub_1229F8,SecHalScaler_SetInputSource,0x001F8828,single-function-xref
0x00122B74,sub_122B74,SecHalScaler_UpdateInputWidthInfo_CallBack,0x001F8848,single-function-xref
0x00122C60,sub_122C60,SecHalScaler_UpdateInputHeightInfo_CallBack,0x001F8878,single-function-xref
0x00122CE8,sub_122CE8,SecHalScaler_UpdateInputHfreqInfo_CallBack,0x001F88A8,single-function-xref
0x00122D70,sub_122D70,SecHalScaler_UpdateInputVfreqInfo_CallBack,0x001F88D8,single-function-xref
0x00122DF8,sub_122DF8,SecHalScaler_UpdateInputInterlaceInfo_CallBack,0x001F8908,single-function-xref
0x00122E80,sub_122E80,SecHalScaler_UpdateInputVRRInfo_CallBack,0x001F8938,single-function-xref
0x00122F08,sub_122F08,SecHalScaler_GetVendorSrcIndexBySecSrcName,0x001F87F8,shared-string
0x00123010,sub_123010,SecHalScaler_GetVendorSrcIndexBySecSrcName,0x001F87F8,shared-string
0x0012319C,sub_12319C,SecHalScaler_GetVendorSrcIndexBySecSrcName,0x001F87F8,shared-string
0x0012336C,sub_12336C,SecHalScaler_GetSourceNameByDPMSCablePlugInfo,0x001F8968,single-function-xref
0x0012345C,sub_12345C,SecHalScaler_GetVendorSrcIndexBySecSrcName,0x001F87F8,shared-string
0x00123620,sub_123620,SecHalScaler_UpdateSyncState_CallBack,0x001F8998,single-function-xref
0x00123AC4,sub_123AC4,SecHalScaler_GetVendorSrcIndexBySecSrcName,0x001F87F8,shared-string
0x00124184,sub_124184,SecHalScaler_IsWakeupByCableDisconnection,0x001F8E70,single-function-xref
0x001241E8,sub_1241E8,SecHalScaler_IsWakeupByJogPowerKey,0x001F8EA0,single-function-xref
0x0012424C,sub_12424C,SecHalScaler_IsWakeupByJogLeftRightKey,0x001F8EC8,single-function-xref
0x001242B0,sub_1242B0,SecHalScaler_IsWakeupByOtherSourceCableConnection,0x001F8EF0,single-function-xref
0x00124804,sub_124804,SecHalScaler_SetUsbSwitch,0x001F8F28,single-function-xref
0x00124A20,sub_124A20,SecHalUserData_SaveDiffToEEPROM,0x001F90C8,single-function-xref
0x00124F34,sub_124F34,SecHalUserData_SavePictureDataBlock,0x001F90E8,single-function-xref
0x00170E78,sub_170E78,SYSAPI_ConfigSystemPostFRCLockMode,0x00204980,single-function-xref
0x00170F30,sub_170F30,SYSAPI_ConfigSystemPostFRCMainBypass,0x002049A8,single-function-xref
0x001791E0,sub_1791E0,__APPTasksAfterDisplay,0x002065F8,single-function-xref
0x001798C8,sub_1798C8,__APPTasksAfterDisplay_Common,0x002066E0,single-function-xref
0x001798C8,sub_1798C8,__APPTasksAfterMute,0x00206630,single-function-xref
0x001798C8,sub_1798C8,__APPTasksAfterMute_All,0x00206668,single-function-xref
0x001798C8,sub_1798C8,__APPTasksAfterMute_Common,0x00206648,single-function-xref
0x001798C8,sub_1798C8,__APPTasksBeforeDisplay_Last,0x002066C0,single-function-xref
0x001798C8,sub_1798C8,__APPTasksBeforeDisplay_Main,0x00206680,single-function-xref
0x001798C8,sub_1798C8,__APPTasksBeforeDisplay_P1,0x002066A0,single-function-xref
